Country Name,Country Code,Series Name,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,"GDP per capita, PPP (current international $)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,943.116265,970.6451147,971.8110235,1075.671373,1120.893128,1287.0644,1336.210339,1575.316779,1771.197985,1749.936995,1958.447627,2062.059176,2110.829568,2128.125938,2023.834656,2096.093111,2110.239384,2168.133765,2078.595086,1673.964059,N/A
Afghanistan,AFG,CO2 emissions (metric tons per capita),0.191389345,0.180673786,0.126516979,0.109105697,0.096637746,0.088781157,0.082266518,0.075558698,0.071269702,0.058246842,0.055166607,0.055292719,0.066810138,0.073004968,0.054866759,0.080361134,0.089756909,0.109940042,0.165573355,0.239506901,0.304230216,0.408965291,0.335061035,0.298087813,0.283692396,0.297971775,0.268358773,0.281195816,0.299082634,0.297563651,0.223478872,N/A,N/A
Albania,ALB,"GDP per capita, PPP (current international $)",2549.746801,1909.31916,1823.503609,2057.692048,2290.143917,2666.081951,2980.418871,2717.684701,3021.179604,3471.646616,3861.333006,4300.222735,4661.402695,5000.295651,5427.767129,5865.291354,6565.633374,7284.166538,8228.354576,8813.51676,9628.640112,10207.75946,10526.25011,10570.96604,11259.30368,11658.8949,12078.79933,12770.99186,13498.18461,14407.43765,14064.03861,15532.70606,18551.71648
Albania,ALB,CO2 emissions (metric tons per capita),1.844035463,1.26105443,0.689643703,0.644008419,0.649938146,0.612055271,0.62120565,0.469830997,0.576804442,0.96029694,1.031567545,1.056868354,1.233001531,1.361158778,1.427944204,1.360092207,1.363988602,1.433796507,1.428249586,1.492116704,1.64276193,1.768108509,1.565921402,1.656389503,1.795712442,1.665218525,1.590069333,1.880557113,1.85464154,1.749462457,1.544550115,N/A,N/A
Algeria,DZA,"GDP per capita, PPP (current international $)",6974.076379,6955.544827,7075.760231,6934.2603,6872.209302,7144.5735,7441.30154,7525.305678,7878.206579,8130.387872,8510.359279,8840.674165,9354.221725,10088.08677,10653.34303,11478.02805,11861.16606,12392.50592,12714.16166,12768.99372,13141.12026,13543.59872,13347.3628,13104.7371,13058.12457,12071.81418,11685.45142,11809.48303,12007.77471,12120.40637,11452.22662,12170.19378,13209.59677
Algeria,DZA,CO2 emissions (metric tons per capita),2.466365604,2.541851285,2.499022087,2.640134411,2.634720413,2.684182209,2.626350224,2.525211077,2.494567358,2.554046267,2.601065339,2.520609526,2.605694613,2.751098761,2.752758782,2.85792657,2.985149131,3.023502915,3.116770947,3.187069044,3.184357,3.305232517,3.621367718,3.658468679,3.811521147,3.951960939,3.833834222,3.833681126,3.924298722,3.994401828,3.71822337,N/A,N/A
American Samoa,ASM,"GDP per capita, PPP (current international $)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,ASM,CO2 emissions (metric tons per capita),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andorra,AND,"GDP per capita, PPP (current international $)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Andorra,AND,CO2 emissions (metric tons per capita),7.592152178,7.336724754,7.099907477,6.937047806,6.663237053,6.754131706,7.08273185,7.194088,7.531924033,7.812961694,7.927016355,7.725626659,7.498764979,7.238069466,7.286756008,7.206273645,6.805400082,6.890389929,7.081822365,6.995396198,7.223590934,6.957586407,6.86229282,6.674233189,6.445930663,6.485769241,6.465288117,6.302097864,6.59405703,6.287203804,5.777147992,N/A,N/A
Angola,AGO,"GDP per capita, PPP (current international $)",3283.170843,3315.70892,3091.201342,2330.662325,2336.379068,2654.402791,2968.586576,3133.186154,3210.082309,3220.724746,3285.953416,3388.148688,3782.892225,3839.572827,4223.637787,4835.669522,5364.437663,6056.779187,6615.114983,6471.284879,6586.465819,6700.1141,7389.31496,7643.921944,8123.048065,7274.090475,7027.146634,7216.061373,7043.95536,6882.279123,6367.437317,6523.463613,6973.696299
Angola,AGO,CO2 emissions (metric tons per capita),0.554941321,0.545806579,0.544412918,0.710960887,0.839266378,0.91426457,1.073630274,1.086325156,1.091172539,1.109791073,0.988416416,0.941818497,0.895716802,0.924988063,0.92981108,0.812875088,0.821263802,0.811413506,0.888609845,0.93945736,0.975916772,0.983787081,0.947583107,1.031043636,1.091497057,1.125185364,1.012552124,0.829723217,0.755827619,0.753638205,0.592742968,N/A,N/A
Antigua and Barbuda,ATG,"GDP per capita, PPP (current international $)",11436.01697,12021.99725,12241.23488,12957.56785,13857.29538,13268.75967,14115.16624,14842.26025,15426.14172,15949.04344,17037.38088,16375.81339,16588.60751,17741.65867,19057.16949,20684.03186,23727.11921,26274.2614,26377.15575,23015.87444,21175.38331,20939.33127,20208.93929,19437.61697,19748.62538,19674.5633,20790.41917,20777.5595,22603.19287,23880.22127,19839.92559,21958.68871,25336.6426
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),3.44555331,3.479272087,3.379266614,3.372117751,3.357585878,3.438697038,3.650534399,3.757477042,3.940913851,4.054401864,4.16361335,4.223578036,4.340954725,4.619916747,4.654108765,4.716473225,4.91995797,5.111197815,5.142280573,5.365888282,5.435556334,5.258909938,5.359627712,5.343683967,5.34089381,5.450239602,5.526478512,5.488427222,5.550826185,5.525581597,5.121730122,N/A,N/A
Argentina,ARG,"GDP per capita, PPP (current international $)",7183.583826,7990.188004,8699.39508,9506.505431,10138.68165,9925.129895,10531.84582,11444.47406,11880.48063,11506.69888,11542.986,11159.32992,9990.720222,10974.32417,12162.33747,13513.67029,14896.73354,16510.44824,17336.93282,16249.73013,18063.91434,19322.22712,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23597.11775,23294.09868,23007.83659,20787.85787,23754.36139,26504.59056
Argentina,ARG,CO2 emissions (metric tons per capita),3.073563154,3.199038186,3.214972108,3.240242229,3.244828392,3.230308037,3.462789185,3.521297803,3.661556758,3.669601022,3.56791849,3.341877067,3.100488668,3.334890879,3.65608487,3.736716865,3.924261841,4.083151439,4.15237521,3.848348227,4.09984414,4.281028145,4.264111002,4.34225013,4.209111895,4.301913806,4.201815869,4.070111687,3.975650744,3.742029812,3.40561754,N/A,N/A
Armenia,ARM,"GDP per capita, PPP (current international $)",2756.573324,2473.873548,1490.351937,1438.588508,1587.042988,1758.673557,1909.642681,2023.94715,2217.057854,2347.5021,2572.42082,2915.455786,3382.060324,3958.329986,4518.262746,5339.901702,6274.028207,7380.23154,8097.305007,7045.330725,7331.386504,7881.771735,9267.397006,9822.947441,10114.93984,10132.31898,10966.85333,12509.63961,13549.52242,14924.77693,14105.91125,15661.51135,18941.52681
Armenia,ARM,CO2 emissions (metric tons per capita),5.579919129,5.71910181,3.009034691,1.438816272,0.802637924,1.034301979,0.752345177,1.016164856,1.077749148,0.967863682,1.123867493,1.149647972,1.00440027,1.133360699,1.227695063,1.463912004,1.4833044,1.732263389,1.90569819,1.521710382,1.471883482,1.685606164,1.961453064,1.896163384,1.895893672,1.85625279,1.767966404,1.88339587,2.013779381,2.196552367,2.404683762,N/A,N/A
Aruba,ABW,"GDP per capita, PPP (current international $)",20753.52765,22429.28944,23484.26826,25024.82762,26786.14595,27192.7075,27183.85273,28718.55742,28743.50906,28656.0962,30746.65275,32184.2193,31988.30307,32657.89238,35653.53767,36264.43537,37365.05519,39080.46601,40059.85715,35169.78535,34230.32509,35780.24974,34786.59399,36932.18416,36846.84829,37343.91296,37583.84032,38865.1882,41685.36332,42510.06559,35012.39147,42887.37491,N/A
Aruba,ABW,CO2 emissions (metric tons per capita),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Australia,AUS,"GDP per capita, PPP (current international $)",17381.44001,17836.174,18254.35789,19216.56619,20170.95768,21037.22417,22130.47745,23123.42686,24377.41786,25468.21831,26521.0784,27626.05997,29016.67834,30106.2907,31746.53245,33018.16322,34822.97516,36628.96879,37517.85385,40306.64278,39363.61806,42018.11794,42847.29675,45907.75468,46882.18557,46251.40868,47249.43482,48400.24579,50192.95733,51909.0151,53066.49099,55947.05223,62625.35764
Australia,AUS,CO2 emissions (metric tons per capita),15.43718277,15.31527127,15.35397358,15.48170527,15.7309148,16.11460158,16.47101442,16.70617608,17.60233354,17.73724311,17.8373184,17.93072692,18.12321078,17.89453913,18.36887105,18.27847309,18.29274959,18.45473766,18.23928987,18.15720084,17.97375152,17.65605534,17.40561767,16.7945881,16.15574514,16.19845822,16.32033061,16.14809051,15.86356243,15.59572675,14.7726576,N/A,N/A
Austria,AUT,"GDP per capita, PPP (current international $)",19473.08196,20617.58298,21293.26486,21732.87109,22642.84773,23698.10913,24560.62401,25426.66281,26675.65024,27606.48303,29381.68488,29708.49357,31178.69333,32145.87051,33774.01809,35013.71404,37659.73297,39435.60574,41316.22518,40918.5201,42007.29375,44452.73275,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54172.98679,56937.94428,59704.22338,57258.69023,59962.82705,67935.84797
Austria,AUT,CO2 emissions (metric tons per capita),7.590106605,8.049526421,7.35494711,7.311748471,7.344674059,7.698069947,8.15463769,8.06021204,8.107660865,7.889457434,7.930858961,8.444656269,8.583836811,9.169316756,9.275870702,9.266405512,8.962101511,8.588766398,8.500238419,7.721228101,8.36562481,8.136189778,7.723851662,7.754017979,7.260930858,7.318859537,7.290777216,7.487036755,7.141140211,7.263331201,6.632645737,N/A,N/A
Azerbaijan,AZE,"GDP per capita, PPP (current international $)",5253.446608,5321.810994,4149.746606,3217.651495,2603.601929,2317.590695,2366.638154,2522.628371,2779.615527,3000.925057,3381.66621,3770.852287,4159.940563,4639.794426,5159.859411,6740.424063,9243.497646,11732.84149,12969.20038,13972.59478,14678.77374,14804.57445,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14551.20011,15054.54461,14495.65697,15927.21015,17764.44559
Azerbaijan,AZE,CO2 emissions (metric tons per capita),7.45396644,7.159572566,8.617281108,6.411378556,4.41191067,4.225833946,3.502937009,3.37952987,3.347718944,3.272330964,3.440001988,3.25441365,3.203348038,3.469644527,3.408403058,3.580068757,3.593402125,3.219523848,3.474404911,2.849570533,2.685112496,2.97414762,3.239167347,3.285574369,3.381555622,3.292794814,3.303957895,3.243037648,3.292641249,3.54349533,3.398849573,N/A,N/A
"Bahamas, The",BHS,"GDP per capita, PPP (current international $)",20002.75661,19428.35729,18710.033,18799.7135,19412.8419,20303.99755,21168.88097,22625.88317,21487.98216,24076.66587,25269.61806,26146.22462,26914.60364,26739.43188,27328.29886,28747.16311,29961.36791,30779.69457,30207.95564,28715.57196,29095.48467,29512.32003,30169.90909,29845.70229,31255.21127,31746.80338,32112.20389,34067.84618,35167.3995,35299.11149,27224.47086,33162.26543,40378.55175
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),7.442764308,7.55384738,6.924421842,6.333546175,6.291220659,6.423549677,6.213496079,5.466984341,6.597061491,6.642478893,6.508335026,6.172146615,6.193974886,6.251292505,6.105412881,5.622707042,5.406279064,5.400848837,5.460935239,5.457035187,5.302835466,5.775896283,6.266800328,7.274471671,6.473141436,5.62112774,5.153595167,5.438825122,6.95535772,6.482893634,6.042251477,N/A,N/A
Bahrain,BHR,"GDP per capita, PPP (current international $)",25731.16492,28594.09183,30129.96237,33643.63046,33149.57425,34045.39428,34962.95671,35548.65614,36559.27645,37570.91678,39360.43209,40186.94531,41161.56258,42900.81335,44006.71276,44780.11567,45651.59194,47380.16645,48078.84387,46708.73586,47929.44346,49960.26787,53778.48867,53672.10422,52073.98462,45900.70303,45281.30192,48929.44701,50114.15039,51879.73634,50682.75956,54901.51263,61227.89722
Bahrain,BHR,CO2 emissions (metric tons per capita),20.75200322,19.32431852,22.13329847,22.77316973,22.54014301,22.08374801,22.37036077,22.08830862,23.03239928,22.32357076,22.31594424,22.4391139,23.01340061,23.05682192,21.50972283,22.94402725,23.15740473,22.10503858,22.30139696,20.95640945,21.39480655,21.46530295,22.18412509,22.86884161,23.09657136,22.38562499,21.49530987,20.94603778,20.73796173,22.06335481,21.97690781,N/A,N/A
Bangladesh,BGD,"GDP per capita, PPP (current international $)",979.9480034,1028.28859,1088.740137,1144.970833,1191.835185,1255.48763,1313.073938,1370.959718,1431.061897,1490.19028,1574.33157,1659.711356,1717.970062,1803.138153,1916.452038,2074.011585,2253.209817,2451.542213,2625.406359,2751.217878,2906.05192,3119.929973,3493.922821,3734.725651,3997.286701,4216.719739,4558.563895,4830.776083,5247.694707,5699.078147,5904.567375,6522.555841,7395.095987
Bangladesh,BGD,CO2 emissions (metric tons per capita),0.107550001,0.099143894,0.106257362,0.110814122,0.117142782,0.140538338,0.140354851,0.1554492,0.154800379,0.158617237,0.160122047,0.194686761,0.203401188,0.209737198,0.219955044,0.232135397,0.251721898,0.263586595,0.285933318,0.305030148,0.340233253,0.361557397,0.387829235,0.408788179,0.425189457,0.463517075,0.507739271,0.541787826,0.586157625,0.559733656,0.510647559,N/A,N/A
Barbados,BRB,"GDP per capita, PPP (current international $)",9647.546397,9565.103215,9197.459609,9461.670749,9831.026257,10216.25117,10796.82338,11484.77708,12027.96711,12213.82783,13022.00962,12965.14681,13217.20134,13717.52169,14231.07062,15202.8526,16571.63266,17307.87206,17675.1852,16824.55708,16568.36896,16749.03935,15726.2358,15747.13709,15575.95073,15947.42152,16370.74562,16198.96216,16388.59954,16631.46439,14579.09038,15177.84971,17837.45322
Barbados,BRB,CO2 emissions (metric tons per capita),3.879660676,3.855136044,3.557676049,3.35960459,3.551919667,3.608803559,3.730959348,4.05935629,4.313045721,4.57546277,4.489206785,4.585175053,4.52721848,4.672540832,4.767881417,4.921013667,4.98326708,5.036029531,5.938342473,5.842777885,5.392940217,5.503909455,5.313671039,5.199176494,4.620188617,4.565435499,4.632243432,4.226450372,4.541381825,4.166143194,3.904871158,N/A,N/A
Belarus,BLR,"GDP per capita, PPP (current international $)",5226.139654,5335.578804,4922.457216,4645.893574,4194.881094,3849.897233,4043.749905,4601.503085,5066.942837,5337.01584,5801.75813,6244.747744,6704.592279,7369.845906,8491.894839,9647.121181,11006.45591,12332.50292,13898.99968,14050.57156,15361.83171,16563.20141,18105.28672,18994.19019,19007.99732,18095.70342,17785.9432,18356.06606,19430.90921,20106.06891,20317.23192,21928.68576,22590.59092
Belarus,BLR,CO2 emissions (metric tons per capita),9.797486552,9.438623511,8.588935317,7.443014733,6.321099487,5.641431568,5.75355116,5.833544932,5.67931991,5.481134542,5.30757214,5.209240545,5.245821114,5.361564331,5.729965409,5.842828709,6.121245728,5.995939944,6.321556971,6.015761028,6.478781371,6.164447338,6.323630473,6.342249474,6.290067804,5.799689169,5.829463579,5.946407169,6.279579416,6.12342695,5.842407296,N/A,N/A
Belgium,BEL,"GDP per capita, PPP (current international $)",18688.64674,19601.8239,20272.98859,20473.78684,21519.33807,22447.4638,22744.69966,23732.22107,24369.48672,25440.84119,27789.94355,28793.61105,30282.28865,30934.4414,32063.26079,33177.89095,35256.92838,36795.84715,37883.33194,37749.90919,39838.04051,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50442.27054,52530.56208,55804.81892,54569.92539,58840.70227,65027.2949
Belgium,BEL,CO2 emissions (metric tons per capita),10.96703557,11.39090004,11.18243237,10.91859517,11.35882853,11.30224288,11.7606251,11.45583865,11.70368582,11.29569403,11.44002926,11.50430124,10.72800799,11.13151691,10.87700891,10.58920275,10.24667523,9.778725166,9.964114755,9.253412196,9.808816157,8.741247718,8.578030369,8.651947187,8.061552368,8.434836506,8.310660392,8.139438591,8.184366679,8.093790746,7.398130658,N/A,N/A
Belize,BLZ,"GDP per capita, PPP (current international $)",4531.423662,5112.745342,5740.606899,6118.515295,6127.731345,6137.281242,6124.782798,6237.364718,6328.218972,6756.762852,7559.295954,7867.537015,8139.930023,8799.769018,9171.967862,9383.184771,9823.536989,10123.34398,9878.206974,9628.795107,9623.86868,9592.130831,9113.474853,9314.225009,9246.723753,9317.196836,9161.625047,8873.754025,9010.060596,9411.462848,8134.598272,9668.766289,11450.9169
Belize,BLZ,CO2 emissions (metric tons per capita),1.863748638,2.36831097,2.009994798,2.089330868,2.029574228,1.990607007,1.575486085,1.929835066,1.776734384,1.608710411,1.768674659,1.940346634,1.756729834,1.705315949,1.505174036,1.552563531,1.597345608,1.654255265,1.475115402,1.693345344,1.649146554,1.740011774,1.380470481,1.326997168,1.372841188,1.875949993,1.773147152,1.716338442,1.648929766,1.89208291,1.741107715,N/A,N/A
